fecha;total
3/3/2022;2560267
2/3/2022;1881099
1/3/2022;874686
28/2/2022;746352
27/2/2022;683642
26/2/2022;1209577
25/2/2022;1898475
24/2/2022;1581443
23/2/2022;1721428
22/2/2022;1575394
21/2/2022;1520616
20/2/2022;700494
19/2/2022;1073245
18/2/2022;1582843
17/2/2022;1518063
16/2/2022;2273471
15/2/2022;1685181
14/2/2022;1721214
13/2/2022;696027
12/2/2022;991171
11/2/2022;2043749
10/2/2022;1704252
9/2/2022;1366953
8/2/2022;2117110
7/2/2022;1499703
6/2/2022;801726
5/2/2022;995981
4/2/2022;1658699
3/2/2022;1652385
2/2/2022;2313499
1/2/2022;1877223
31/1/2022;1673949
30/1/2022;686444
29/1/2022;923899
28/1/2022;1448700
27/1/2022;1544718
26/1/2022;1135868
25/1/2022;1411633
24/1/2022;1184161
23/1/2022;612381
22/1/2022;841514
21/1/2022;1338117
20/1/2022;1560472
19/1/2022;1474798
18/1/2022;1488693
17/1/2022;1691069
16/1/2022;652809
15/1/2022;921092
14/1/2022;1631235
13/1/2022;1365000
12/1/2022;1304719
11/1/2022;1321279
10/1/2022;1290406
9/1/2022;676050
8/1/2022;859896
7/1/2022;1386668
6/1/2022;1379178
5/1/2022;1333217
4/1/2022;1493883
3/1/2022;1514070
2/1/2022;668323
1/1/2022;397752
